"id","pub_date","bandname_text"
7,"2018-12-29 03:52:47+00","Dope Tote"
8,"2018-12-29 03:52:47+00","Minor Miner League"
9,"2018-12-29 03:52:47+00","Great Softer"
10,"2018-12-29 03:52:47+00","Typhoon Tycoon"
11,"2018-12-29 03:52:47+00","Chloro Phil and the Cells"
12,"2018-12-29 03:52:47+00","Brainwave Burqa"
13,"2018-12-29 03:52:47+00","Face Beat"
14,"2018-12-29 03:52:47+00","Led Zeppole"
15,"2018-12-29 03:52:47+00","Air Plugs"
16,"2018-12-29 03:52:47+00","The Feelers"
17,"2018-12-29 03:52:47+00","Beach Hair"
18,"2018-12-29 03:52:47+00","Chotto Motto"
19,"2018-12-29 03:52:47+00","Ocean Chapel"
20,"2018-12-29 03:52:47+00","Oyster Island"
21,"2018-12-29 03:52:47+00","Barren Neck"
22,"2018-12-29 03:52:47+00","Lemon Green"
23,"2018-12-29 03:52:47+00","Tape Snake"
24,"2018-12-29 03:52:47+00","Partial Arts"
25,"2018-12-29 03:52:47+00","Green Fur"
26,"2018-12-29 03:52:47+00","Dynamo Society"
27,"2018-12-29 03:52:47+00","Downer"
28,"2018-12-29 03:52:47+00","Magazine Magnate"
29,"2018-12-29 03:52:47+00","The Maonties"
30,"2018-12-29 03:52:47+00","Phased Out"
31,"2018-12-29 03:52:47+00","Several Vaginas"
32,"2018-12-29 03:52:47+00","Vulgar Specialist"
33,"2018-12-29 03:52:47+00","Ass Laser"
34,"2018-12-29 03:52:47+00","Cellulloyd"
35,"2018-12-29 03:52:47+00","Crack Nugs"
36,"2018-12-29 03:52:47+00","Sexual Jaguar"
37,"2018-12-29 03:52:47+00","Disembodied Vagina"
38,"2018-12-29 03:52:47+00","Taco Page"
39,"2018-12-29 03:52:47+00","Plague Mask"
40,"2018-12-29 03:52:47+00","Liquor Sickles"
41,"2018-12-29 03:52:47+00","Hippocerous"
42,"2018-12-29 03:52:47+00","Mutato"
43,"2018-12-29 03:52:47+00","Wet Bandits"
44,"2018-12-29 03:52:47+00","Muchos Butros Gala"
45,"2018-12-29 03:52:47+00","Sir Doctor"
46,"2018-12-29 03:52:47+00","OG Simpson"
47,"2018-12-29 03:52:47+00","Letter Sensitive"
48,"2018-12-29 03:52:47+00","Ex Miss"
49,"2018-12-29 03:53:09+00","Centrifudge"
50,"2018-12-29 03:53:19+00","Minimum Rage"
51,"2018-12-29 03:53:29+00","Strawberry Goldwater"
